,id,time,fuel
557,TAP803L_LIMC_LPPT_20140912094200.scn,21:23:46,[59052.16124829]
558,DLH8PK_LHBP_EDDM_20140912181500.scn,07:38:28,[278897.34215034]
559,SAS618_LSGG_EKCH_20140912180500.scn,01:28:01,[272969.58569118]
560,VLG2473_GCRR_LEBL_20140912145000.scn,02:58:10,[57516.95066994]
561,EZY92FN_LPPT_EGGP_20140912121500.scn,14:34:06,[55276.51280638]
562,KLM59Z_EHAM_LSGG_20140912193000.scn,06:18:00,[57605.30729712]
563,PGT4629_LTCJ_LTFJ_20140912083500.scn,20:55:51,[61962.60680137]
564,ADH931_LICC_LIRP_20140912072000.scn,06:08:24,[61443.46179383]
565,AEE929_LLBG_LGAV_20140912023000.scn,04:13:19,[60656.54699554]
566,LBT7362_DTNH_LKPR_20140912104500.scn,07:09:46,[59174.76156992]
567,AUI34L_UKLL_UKBB_20140912040000.scn,04:43:37,[63770.29206534]
568,BLX328_LGKO_ESSA_20140912103000.scn,13:48:54,[134898.2393738]
569,BAW4TM_EHRD_EGLL_20140912082000.scn,20:44:40,[59295.81839541]
570,DLH08W_EDDF_LFPG_20140912100500.scn,16:27:55,[58716.12338335]
571,TAP1015_LEMD_LPPT_20140912130000.scn,13:43:37,[16284.78268671]
572,PRI5403_LFLL_LFPG_20140912003000.scn,01:09:24,[63915.84702785]
573,TAY011_KJFK_EBLG_20140912140000.scn,20:46:49,[226866.28367794]
